"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2097","get started","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","2931","Login","firefox","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","2404","has title","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","2522","Login","chromium","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","2392","get started","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1788","has title","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1616","has title","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","17559","Login","webkit","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","3897","get started","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
