"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1979","Login","chromium","2026-02-17","passed","2026-02-17","","login.spec.ts","",""
"","212","verify text inside iframe","chromium","2026-02-17","passed","2026-02-17","Handle iframe on DemoQA","frame.spec.ts","",""
"","1720","should not share session with other tests","chromium","2026-02-17","passed","2026-02-17","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","310","should wait for specific API response","firefox","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","30010","GET test cases page","chromium","2026-02-17","broken","2026-02-17","","api.spec.ts","",""
"","1836","manual isolated browser context","firefox","2026-02-17","passed","2026-02-17","","isolation.spec.ts","",""
"","370","should capture page errors","chromium","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","1958","should not share session with other tests","firefox","2026-02-17","passed","2026-02-17","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","554","Login test using Excel row 2","chromium","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","1445","get position and size of an element","webkit","2026-02-17","passed","2026-02-17","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","501","should wait for specific API response","webkit","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","156","should wait for specific API response","chromium","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","2342","Login","firefox","2026-02-17","passed","2026-02-17","","login.spec.ts","",""
"","2761","should not share session with other tests","webkit","2026-02-17","passed","2026-02-17","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","1636","fresh session test","chromium","2026-02-17","passed","2026-02-17","Isolated with explicit context config","isolation.spec.ts","",""
"","704","BrowserContext shares localStorage between pages","firefox","2026-02-17","passed","2026-02-17","","browserContext.spec.ts","",""
"","1229","handle new tab using popup event","firefox","2026-02-17","passed","2026-02-17","Window Handling in Playwright","windowHandle.spec.ts","",""
"","452","should read href attribute using ElementHandle.getAttribute()","chromium","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","2239","Upload and download a file","webkit","2026-02-17","passed","2026-02-17","","file.spec.ts","",""
"","1784","handle new tab using popup event","webkit","2026-02-17","passed","2026-02-17","Window Handling in Playwright","windowHandle.spec.ts","",""
"","933","Login test using Excel row 2","webkit","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","183","GET test cases page","webkit","2026-02-17","passed","2026-02-17","","api.spec.ts","",""
"","2359","should login successfully","firefox","2026-02-17","passed","2026-02-17","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","1448","Upload and download a file","firefox","2026-02-17","passed","2026-02-17","","file.spec.ts","",""
"","312","should capture console messages","firefox","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","372","should capture console messages","chromium","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","167","should read textContent using ElementHandle.textContent()","chromium","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","380","verify text inside iframe","firefox","2026-02-17","passed","2026-02-17","Handle iframe on DemoQA","frame.spec.ts","",""
"","3686","Login","webkit","2026-02-17","passed","2026-02-17","","login.spec.ts","",""
"","2188","login using ElementHandle","webkit","2026-02-17","passed","2026-02-17","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","643","POST /users/register - register a new user","firefox","2026-02-17","passed","2026-02-17","","api.spec.ts","",""
"","2474","manual isolated browser context","webkit","2026-02-17","passed","2026-02-17","","isolation.spec.ts","",""
"","165","should read innerHTML using ElementHandle.innerHTML()","chromium","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","1079","Upload and download a file","chromium","2026-02-17","passed","2026-02-17","","file.spec.ts","",""
"","415","should read innerText using ElementHandle.innerText()","webkit","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","2339","fresh session test","webkit","2026-02-17","passed","2026-02-17","Isolated with explicit context config","isolation.spec.ts","",""
"","244","should use JSHandle.evaluate() to read object property","firefox","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","2528","get started","firefox","2026-02-17","passed","2026-02-17","","signUp.spec.ts","",""
"","1280","login using ElementHandle","firefox","2026-02-17","passed","2026-02-17","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","712","Login test using Excel row 2","firefox","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","2109","should handle popup, network request, dialog, and download events","webkit","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","4438","new todo test","firefox","2026-02-17","passed","2026-02-17","","codegen.spec.ts","",""
"","3900","get started","webkit","2026-02-17","passed","2026-02-17","","signUp.spec.ts","",""
"","1904","fresh session test","firefox","2026-02-17","passed","2026-02-17","Isolated with explicit context config","isolation.spec.ts","",""
"","351","should use JSHandle.evaluate() to read object property","webkit","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","1114","login using ElementHandle","chromium","2026-02-17","passed","2026-02-17","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","348","should read href attribute using ElementHandle.getAttribute()","firefox","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","3692","should login successfully","webkit","2026-02-17","passed","2026-02-17","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","249","should read innerHTML using ElementHandle.innerHTML()","firefox","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","279","should read textContent using ElementHandle.textContent()","firefox","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","1941","should login successfully","chromium","2026-02-17","passed","2026-02-17","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","875","BrowserContext shares localStorage between pages","webkit","2026-02-17","passed","2026-02-17","","browserContext.spec.ts","",""
"","609","Read and write Excel using Playwright","webkit","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","667","POST /users/register - register a new user","chromium","2026-02-17","passed","2026-02-17","","api.spec.ts","",""
"","294","GET test cases page","firefox","2026-02-17","passed","2026-02-17","","api.spec.ts","",""
"","845","handle new tab using popup event","chromium","2026-02-17","passed","2026-02-17","Window Handling in Playwright","windowHandle.spec.ts","",""
"","782","Login test using Excel row 1","firefox","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","1646","has title","chromium","2026-02-17","passed","2026-02-17","","signUp.spec.ts","",""
"","544","should read href attribute using ElementHandle.getAttribute()","webkit","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","1878","has title","firefox","2026-02-17","passed","2026-02-17","","signUp.spec.ts","",""
"","790","get position and size of an element","chromium","2026-02-17","passed","2026-02-17","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","1792","should handle popup, network request, dialog, and download events","firefox","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","428","should read textContent using ElementHandle.textContent()","webkit","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","665","POST /users/register - register a new user","webkit","2026-02-17","passed","2026-02-17","","api.spec.ts","",""
"","4096","new todo test","chromium","2026-02-17","passed","2026-02-17","","codegen.spec.ts","",""
"","411","should read innerHTML using ElementHandle.innerHTML()","webkit","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","507","should capture page errors","webkit","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","825","BrowserContext shares localStorage between pages","chromium","2026-02-17","passed","2026-02-17","","browserContext.spec.ts","",""
"","1572","should handle popup, network request, dialog, and download events","chromium","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","321","should capture page errors","firefox","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","508","verify text inside iframe","webkit","2026-02-17","passed","2026-02-17","Handle iframe on DemoQA","frame.spec.ts","",""
"","408","Read and write Excel using Playwright","chromium","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","165","should read innerText using ElementHandle.innerText()","chromium","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","1167","Login test using Excel row 1","webkit","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","936","get position and size of an element","firefox","2026-02-17","passed","2026-02-17","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","3258","get started","chromium","2026-02-17","passed","2026-02-17","","signUp.spec.ts","",""
"","256","should read innerText using ElementHandle.innerText()","firefox","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","1572","manual isolated browser context","chromium","2026-02-17","passed","2026-02-17","","isolation.spec.ts","",""
"","2438","has title","webkit","2026-02-17","passed","2026-02-17","","signUp.spec.ts","",""
"","9960","new todo test","webkit","2026-02-17","passed","2026-02-17","","codegen.spec.ts","",""
"","390","Read and write Excel using Playwright","firefox","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
"","175","should use JSHandle.evaluate() to read object property","chromium","2026-02-17","passed","2026-02-17","","windowHandle.spec.ts","",""
"","511","should capture console messages","webkit","2026-02-17","passed","2026-02-17","","eventExample.spec.ts","",""
"","736","Login test using Excel row 1","chromium","2026-02-17","passed","2026-02-17","","excel.spec.ts","",""
