"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","632","Login test using Excel row 1","firefox","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","4279","Login","webkit","2026-02-12","passed","2026-02-12","","login.spec.ts","",""
"","1453","handle new tab using popup event","firefox","2026-02-12","passed","2026-02-12","Window Handling in Playwright","windowHandle.spec.ts","",""
"","186","GET test cases page","firefox","2026-02-12","passed","2026-02-12","","api.spec.ts","",""
"","1836","has title","chromium","2026-02-12","passed","2026-02-12","","signUp.spec.ts","",""
"","2192","has title","firefox","2026-02-12","passed","2026-02-12","","signUp.spec.ts","",""
"","754","POST /users/register - register a new user","chromium","2026-02-12","passed","2026-02-12","","api.spec.ts","",""
"","629","Read and write Excel using Playwright","webkit","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","4569","verify text inside iframe","webkit","2026-02-12","passed","2026-02-12","Handle iframe on DemoQA","frame.spec.ts","",""
"","4645","new todo test","firefox","2026-02-12","passed","2026-02-12","","codegen.spec.ts","",""
"","12895","new todo test","webkit","2026-02-12","passed","2026-02-12","","codegen.spec.ts","",""
"","1172","Login test using Excel row 1","webkit","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","1123","get position and size of an element","chromium","2026-02-12","passed","2026-02-12","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","1459","login using ElementHandle","chromium","2026-02-12","passed","2026-02-12","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","2830","Upload and download a file","webkit","2026-02-12","passed","2026-02-12","","file.spec.ts","",""
"","2189","handle new tab using popup event","webkit","2026-02-12","passed","2026-02-12","Window Handling in Playwright","windowHandle.spec.ts","",""
"","484","Login test using Excel row 2","chromium","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","725","POST /users/register - register a new user","webkit","2026-02-12","passed","2026-02-12","","api.spec.ts","",""
"","2464","verify text inside iframe","firefox","2026-02-12","passed","2026-02-12","Handle iframe on DemoQA","frame.spec.ts","",""
"","1185","handle new tab using popup event","chromium","2026-02-12","passed","2026-02-12","Window Handling in Playwright","windowHandle.spec.ts","",""
"","1524","Upload and download a file","chromium","2026-02-12","passed","2026-02-12","","file.spec.ts","",""
"","131","GET test cases page","webkit","2026-02-12","passed","2026-02-12","","api.spec.ts","",""
"","252","Read and write Excel using Playwright","chromium","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","3255","verify text inside iframe","chromium","2026-02-12","passed","2026-02-12","Handle iframe on DemoQA","frame.spec.ts","",""
"","2860","has title","webkit","2026-02-12","passed","2026-02-12","","signUp.spec.ts","",""
"","2345","get started","chromium","2026-02-12","passed","2026-02-12","","signUp.spec.ts","",""
"","2209","Login","chromium","2026-02-12","passed","2026-02-12","","login.spec.ts","",""
"","695","BrowserContext shares localStorage between pages","chromium","2026-02-12","passed","2026-02-12","","browserContext.spec.ts","",""
"","1334","get position and size of an element","firefox","2026-02-12","passed","2026-02-12","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","422","GET test cases page","chromium","2026-02-12","passed","2026-02-12","","api.spec.ts","",""
"","1761","login using ElementHandle","firefox","2026-02-12","passed","2026-02-12","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","1820","Upload and download a file","firefox","2026-02-12","passed","2026-02-12","","file.spec.ts","",""
"","724","BrowserContext shares localStorage between pages","webkit","2026-02-12","passed","2026-02-12","","browserContext.spec.ts","",""
"","550","Login test using Excel row 2","firefox","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","344","Read and write Excel using Playwright","firefox","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","576","Login test using Excel row 1","chromium","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","920","Login test using Excel row 2","webkit","2026-02-12","passed","2026-02-12","","excel.spec.ts","",""
"","1918","get position and size of an element","webkit","2026-02-12","passed","2026-02-12","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","4280","get started","webkit","2026-02-12","passed","2026-02-12","","signUp.spec.ts","",""
"","568","BrowserContext shares localStorage between pages","firefox","2026-02-12","passed","2026-02-12","","browserContext.spec.ts","",""
"","2735","get started","firefox","2026-02-12","passed","2026-02-12","","signUp.spec.ts","",""
"","3353","new todo test","chromium","2026-02-12","passed","2026-02-12","","codegen.spec.ts","",""
"","2783","login using ElementHandle","webkit","2026-02-12","passed","2026-02-12","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","707","POST /users/register - register a new user","firefox","2026-02-12","passed","2026-02-12","","api.spec.ts","",""
"","2719","Login","firefox","2026-02-12","passed","2026-02-12","","login.spec.ts","",""
