"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","516","get position and size of an element","chromium","2026-02-13","passed","2026-02-13","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","290","should read innerText using ElementHandle.innerText()","firefox","2026-02-13","passed","2026-02-13","","windowHandle.spec.ts","",""
"","616","Read and write Excel using Playwright","webkit","2026-02-13","passed","2026-02-13","","excel.spec.ts","",""
"","770","login using ElementHandle","chromium","2026-02-13","passed","2026-02-13","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","552","POST /users/register - register a new user","firefox","2026-02-13","passed","2026-02-13","","api.spec.ts","",""
"","734","BrowserContext shares localStorage between pages","webkit","2026-02-13","passed","2026-02-13","","browserContext.spec.ts","",""
"","1058","Upload and download a file","firefox","2026-02-13","passed","2026-02-13","","file.spec.ts","",""
"","2034","verify text inside iframe","firefox","2026-02-13","passed","2026-02-13","Handle iframe on DemoQA","frame.spec.ts","",""
"","486","Read and write Excel using Playwright","firefox","2026-02-13","passed","2026-02-13","","excel.spec.ts","",""
"","1634","Upload and download a file","webkit","2026-02-13","passed","2026-02-13","","file.spec.ts","",""
"","252","GET test cases page","chromium","2026-02-13","passed","2026-02-13","","api.spec.ts","",""
"","781","handle new tab using popup event","firefox","2026-02-13","passed","2026-02-13","Window Handling in Playwright","windowHandle.spec.ts","",""
"","512","Login test using Excel row 2","chromium","2026-02-13","passed","2026-02-13","","excel.spec.ts","",""
"","192","should use JSHandle.evaluate() to read object property","chromium","2026-02-13","passed","2026-02-13","","windowHandle.spec.ts","",""
"","654","Login test using Excel row 1","firefox","2026-02-13","passed","2026-02-13","","excel.spec.ts","",""
"","996","get position and size of an element","webkit","2026-02-13","passed","2026-02-13","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","421","should read textContent using ElementHandle.textContent()","webkit","2026-02-13","passed","2026-02-13","","windowHandle.spec.ts","",""
"","252","should read href attribute using ElementHandle.getAttribute()","chromium","2026-02-13","passed","2026-02-13","","windowHandle.spec.ts","",""
"","270","Read and write Excel using Playwright","chromium","2026-02-13","passed","2026-02-13","","excel.spec.ts","",""
"","2483","new todo test","chromium","2026-02-13","passed","2026-02-13","","codegen.spec.ts","",""
"","569","BrowserContext shares localStorage between pages","firefox","2026-02-13","passed","2026-02-13","","browserContext.spec.ts","",""
"","1316","has title","chromium","2026-02-13","passed","2026-02-13","","signUp.spec.ts","",""
"","558","handle new tab using popup event","chromium","2026-02-13","passed","2026-02-13","Window Handling in Playwright","windowHandle.spec.ts","",""
"","1868","get started","chromium","2026-02-13","passed","2026-02-13","","signUp.spec.ts","",""
"","917","login using ElementHandle","firefox","2026-02-13","passed","2026-02-13","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","1813","verify text inside iframe","chromium","2026-02-13","passed","2026-02-13","Handle iframe on DemoQA","frame.spec.ts","",""
"","1865","Login","chromium","2026-02-13","passed","2026-02-13","","login.spec.ts","",""
"","1561","has title","firefox","2026-02-13","passed","2026-02-13","","signUp.spec.ts","",""
"","862","Login test using Excel row 2","webkit","2026-02-13","passed","2026-02-13","","excel.spec.ts","",""
