"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14066","Login","webkit","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","2144","has title","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","4241","get started","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1750","has title","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","2481","get started","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","7209","Login","firefox","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","2847","get started","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","2370","Login","chromium","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","2713","has title","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
