"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1612","has title","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","3577","get started","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","1825","Login","chromium","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","3450","codegen test","firefox","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","2314","get started","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","4557","Login","webkit","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","1286","has title","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","2105","has title","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","17217","codegen test","webkit","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","2629","codegen test","chromium","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","1982","get started","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","2106","Login","firefox","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
