"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174","GET test cases page","firefox","2026-02-09","passed","2026-02-09","","api.spec.ts","",""
"","1192","Upload and download a file","chromium","2026-02-09","passed","2026-02-09","","file.spec.ts","",""
"","1918","Upload and download a file","firefox","2026-02-09","passed","2026-02-09","","file.spec.ts","",""
"","637","POST /users/register - register a new user","webkit","2026-02-09","passed","2026-02-09","","api.spec.ts","",""
"","2338","Login","firefox","2026-02-09","passed","2026-02-09","","login.spec.ts","",""
"","2469","Upload and download a file","webkit","2026-02-09","passed","2026-02-09","","file.spec.ts","",""
"","839","BrowserContext shares localStorage between pages","webkit","2026-02-09","passed","2026-02-09","","browserContext.spec.ts","",""
"","10263","new todo test","webkit","2026-02-09","passed","2026-02-09","","codegen.spec.ts","",""
"","642","POST /users/register - register a new user","chromium","2026-02-09","passed","2026-02-09","","api.spec.ts","",""
"","183","GET test cases page","webkit","2026-02-09","passed","2026-02-09","","api.spec.ts","",""
"","3227","new todo test","chromium","2026-02-09","passed","2026-02-09","","codegen.spec.ts","",""
"","2643","get started","firefox","2026-02-09","passed","2026-02-09","","signUp.spec.ts","",""
"","839","BrowserContext shares localStorage between pages","chromium","2026-02-09","passed","2026-02-09","","browserContext.spec.ts","",""
"","331","Read and write Excel using Playwright","chromium","2026-02-09","passed","2026-02-09","","excel.spec.ts","",""
"","2110","get started","chromium","2026-02-09","passed","2026-02-09","","signUp.spec.ts","",""
"","430","Read and write Excel using Playwright","firefox","2026-02-09","passed","2026-02-09","","excel.spec.ts","",""
"","614","POST /users/register - register a new user","firefox","2026-02-09","passed","2026-02-09","","api.spec.ts","",""
"","3969","new todo test","firefox","2026-02-09","passed","2026-02-09","","codegen.spec.ts","",""
"","658","Read and write Excel using Playwright","webkit","2026-02-09","passed","2026-02-09","","excel.spec.ts","",""
"","497","GET test cases page","chromium","2026-02-09","passed","2026-02-09","","api.spec.ts","",""
"","3886","has title","webkit","2026-02-09","passed","2026-02-09","","signUp.spec.ts","",""
"","4708","Login","webkit","2026-02-09","passed","2026-02-09","","login.spec.ts","",""
"","1870","has title","firefox","2026-02-09","passed","2026-02-09","","signUp.spec.ts","",""
"","1504","has title","chromium","2026-02-09","passed","2026-02-09","","signUp.spec.ts","",""
"","666","BrowserContext shares localStorage between pages","firefox","2026-02-09","passed","2026-02-09","","browserContext.spec.ts","",""
"","2037","Login","chromium","2026-02-09","passed","2026-02-09","","login.spec.ts","",""
"","3842","get started","webkit","2026-02-09","passed","2026-02-09","","signUp.spec.ts","",""
