"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","666","POST /users/register - register a new user","chromium","2026-02-04","passed","2026-02-04","","api.spec.ts","",""
"","1636","has title","chromium","2026-02-04","passed","2026-02-04","","signUp.spec.ts","",""
"","2668","has title","webkit","2026-02-04","passed","2026-02-04","","signUp.spec.ts","",""
"","4830","Login","webkit","2026-02-04","passed","2026-02-04","","login.spec.ts","",""
"","626","POST /users/register - register a new user","webkit","2026-02-04","passed","2026-02-04","","api.spec.ts","",""
"","1887","has title","firefox","2026-02-04","passed","2026-02-04","","signUp.spec.ts","",""
"","695","POST /users/register - register a new user","firefox","2026-02-04","passed","2026-02-04","","api.spec.ts","",""
"","145","GET test cases page","firefox","2026-02-04","passed","2026-02-04","","api.spec.ts","",""
"","10763","new todo test","webkit","2026-02-04","passed","2026-02-04","","codegen.spec.ts","",""
"","2234","get started","chromium","2026-02-04","passed","2026-02-04","","signUp.spec.ts","",""
"","3299","new todo test","chromium","2026-02-04","passed","2026-02-04","","codegen.spec.ts","",""
"","2200","Login","chromium","2026-02-04","passed","2026-02-04","","login.spec.ts","",""
"","2636","Login","firefox","2026-02-04","passed","2026-02-04","","login.spec.ts","",""
"","135","GET test cases page","webkit","2026-02-04","passed","2026-02-04","","api.spec.ts","",""
"","4123","get started","webkit","2026-02-04","passed","2026-02-04","","signUp.spec.ts","",""
"","682","GET test cases page","chromium","2026-02-04","passed","2026-02-04","","api.spec.ts","",""
"","2580","get started","firefox","2026-02-04","passed","2026-02-04","","signUp.spec.ts","",""
"","4514","new todo test","firefox","2026-02-04","passed","2026-02-04","","codegen.spec.ts","",""
