"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","should read innerHTML using ElementHandle.innerHTML()","chromium","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","1296","Upload and download a file","chromium","2026-02-20","passed","2026-02-20","","file.spec.ts","",""
"","2451","login using ElementHandle","webkit","2026-02-20","passed","2026-02-20","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","2912","should not share session with other tests","webkit","2026-02-20","passed","2026-02-20","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","425","should read innerText using ElementHandle.innerText()","webkit","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","305","should display mocked users from API","firefox","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","1593","manual isolated browser context","chromium","2026-02-20","passed","2026-02-20","","isolation.spec.ts","",""
"","3746","Login","webkit","2026-02-20","passed","2026-02-20","","login.spec.ts","",""
"","1957","manual isolated browser context","firefox","2026-02-20","passed","2026-02-20","","isolation.spec.ts","",""
"","232","User API test - Thread 3","firefox","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","175","should read innerText using ElementHandle.innerText()","chromium","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","1985","fresh session test","firefox","2026-02-20","passed","2026-02-20","Isolated with explicit context config","isolation.spec.ts","",""
"","1102","get position and size of an element","firefox","2026-02-20","passed","2026-02-20","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","153","User API test - Thread 2","chromium","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","1263","handle new tab using popup event","firefox","2026-02-20","passed","2026-02-20","Window Handling in Playwright","windowHandle.spec.ts","",""
"","468","should capture console messages","webkit","2026-02-20","passed","2026-02-20","","eventExample.spec.ts","",""
"","1795","should handle popup, network request, dialog, and download events","firefox","2026-02-20","passed","2026-02-20","","eventExample.spec.ts","",""
"","515","should mock login API","webkit","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","4778","should display user dashboard after login","webkit","2026-02-20","passed","2026-02-20","Dashboard Tests","ext.spec.ts","",""
"","1685","fresh session test","chromium","2026-02-20","passed","2026-02-20","Isolated with explicit context config","isolation.spec.ts","",""
"","710","Login test using Excel row 1","firefox","2026-02-20","passed","2026-02-20","","excel.spec.ts","",""
"","148","User API test - Thread 1","chromium","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","284","should use JSHandle.evaluate() to read object property","firefox","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","592","Login test using Excel row 2","firefox","2026-02-20","passed","2026-02-20","","excel.spec.ts","",""
"","335","should use JSHandle.evaluate() to read object property","webkit","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","3151","new todo test","chromium","2026-02-20","passed","2026-02-20","","codegen.spec.ts","",""
"","1268","Login test using Excel row 1","webkit","2026-02-20","passed","2026-02-20","","excel.spec.ts","",""
"","517","verify text inside iframe","webkit","2026-02-20","passed","2026-02-20","Handle iframe on DemoQA","frame.spec.ts","",""
"","402","User API test - Thread 2","firefox","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","299","should capture console messages","firefox","2026-02-20","passed","2026-02-20","","eventExample.spec.ts","",""
"","3798","should login successfully","webkit","2026-02-20","passed","2026-02-20","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","1594","get position and size of an element","webkit","2026-02-20","passed","2026-02-20","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","671","POST /users/register - register a new user","webkit","2026-02-20","passed","2026-02-20","","api.spec.ts","",""
"","617","BrowserContext shares localStorage between pages","firefox","2026-02-20","passed","2026-02-20","","browserContext.spec.ts","",""
"","379","Read and write Excel using Playwright","firefox","2026-02-20","passed","2026-02-20","","excel.spec.ts","",""
"","1433","login using ElementHandle","firefox","2026-02-20","passed","2026-02-20","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","171","should use JSHandle.evaluate() to read object property","chromium","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","2439","should login successfully","firefox","2026-02-20","passed","2026-02-20","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","1648","has title","chromium","2026-02-20","passed","2026-02-20","","signUp.spec.ts","",""
"","492","should read href attribute using ElementHandle.getAttribute()","webkit","2026-02-20","passed","2026-02-20","","windowHandle.spec.ts","",""
"","364","should capture console messages","chromium","2026-02-20","passed","2026-02-20","","eventExample.spec.ts","",""
"","370","should display mocked users from API","webkit","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","2385","fresh session test","webkit","2026-02-20","passed","2026-02-20","Isolated with explicit context config","isolation.spec.ts","",""
"","716","POST /users/register - register a new user","chromium","2026-02-20","passed","2026-02-20","","api.spec.ts","",""
"","389","User API test - Thread 3","webkit","2026-02-20","passed","2026-02-20","","exMockApi.spec.ts","",""
"","2580","get started","firefox","2026-02-20","passed","2026-02-20","","signUp.spec.ts","",""
"","758","BrowserContext shares localStorage between pages","webkit","2026-02-20","passed","2026-02-20","","browserContext.spec.ts","",""
