"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3275","codegen test","firefox","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","67","GET test cases page","webkit","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","4119","Login","webkit","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","68","GET test cases page","firefox","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","2018","get started","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","2257","codegen test","chromium","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","10164","codegen test","webkit","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","191","GET test cases page","chromium","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","464","POST /users/register - register a new user","chromium","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","1704","get started","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","3272","get started","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","461","POST /users/register - register a new user","webkit","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","1899","Login","firefox","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","1308","has title","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","1778","has title","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","465","POST /users/register - register a new user","firefox","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","1603","Login","chromium","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","1082","has title","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
