"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","702","POST /users/register - register a new user","chromium","2026-02-10","passed","2026-02-10","","api.spec.ts","",""
"","2577","get started","chromium","2026-02-10","passed","2026-02-10","","signUp.spec.ts","",""
"","1174","Login test using Excel row 1","webkit","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","2964","get started","firefox","2026-02-10","passed","2026-02-10","","signUp.spec.ts","",""
"","599","Login test using Excel row 2","firefox","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","1565","Upload and download a file","chromium","2026-02-10","passed","2026-02-10","","file.spec.ts","",""
"","688","POST /users/register - register a new user","firefox","2026-02-10","passed","2026-02-10","","api.spec.ts","",""
"","1914","Upload and download a file","firefox","2026-02-10","passed","2026-02-10","","file.spec.ts","",""
"","6199","get started","webkit","2026-02-10","passed","2026-02-10","","signUp.spec.ts","",""
"","254","Read and write Excel using Playwright","chromium","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","386","Read and write Excel using Playwright","firefox","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","604","Login test using Excel row 1","chromium","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","605","Read and write Excel using Playwright","webkit","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","133","GET test cases page","firefox","2026-02-10","passed","2026-02-10","","api.spec.ts","",""
"","685","Login test using Excel row 1","firefox","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","2797","has title","webkit","2026-02-10","passed","2026-02-10","","signUp.spec.ts","",""
"","748","BrowserContext shares localStorage between pages","webkit","2026-02-10","passed","2026-02-10","","browserContext.spec.ts","",""
"","139","GET test cases page","webkit","2026-02-10","passed","2026-02-10","","api.spec.ts","",""
"","13791","new todo test","webkit","2026-02-10","passed","2026-02-10","","codegen.spec.ts","",""
"","2647","Login","firefox","2026-02-10","passed","2026-02-10","","login.spec.ts","",""
"","5080","Login","webkit","2026-02-10","passed","2026-02-10","","login.spec.ts","",""
"","2944","has title","firefox","2026-02-10","passed","2026-02-10","","signUp.spec.ts","",""
"","4785","new todo test","firefox","2026-02-10","passed","2026-02-10","","codegen.spec.ts","",""
"","3402","new todo test","chromium","2026-02-10","passed","2026-02-10","","codegen.spec.ts","",""
"","3542","Login","chromium","2026-02-10","passed","2026-02-10","","login.spec.ts","",""
"","501","Login test using Excel row 2","chromium","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","431","GET test cases page","chromium","2026-02-10","passed","2026-02-10","","api.spec.ts","",""
"","665","POST /users/register - register a new user","webkit","2026-02-10","passed","2026-02-10","","api.spec.ts","",""
"","2339","BrowserContext shares localStorage between pages","chromium","2026-02-10","passed","2026-02-10","","browserContext.spec.ts","",""
"","909","BrowserContext shares localStorage between pages","firefox","2026-02-10","passed","2026-02-10","","browserContext.spec.ts","",""
"","891","Login test using Excel row 2","webkit","2026-02-10","passed","2026-02-10","","excel.spec.ts","",""
"","2072","has title","chromium","2026-02-10","passed","2026-02-10","","signUp.spec.ts","",""
"","2864","Upload and download a file","webkit","2026-02-10","passed","2026-02-10","","file.spec.ts","",""
