"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1079","has title","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1721","has title","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1324","has title","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","5700","Login","webkit","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","1933","get started","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","2436","Login","firefox","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
"","1681","get started","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","3168","get started","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1690","Login","chromium","2026-01-28","passed","2026-01-28","","login.spec.ts","",""
