"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241","should read textContent using ElementHandle.textContent()","firefox","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","2057","Login test for user: invalid_user","firefox","2026-03-04","passed","2026-03-04","Login Parameterized Tests","ExPara.spec.ts","",""
"","1943","Invalid login: invalid_user","firefox","2026-03-04","passed","2026-03-04","Login Tests - Parameterized","ExPara.spec.ts","",""
"","162","should read innerText using ElementHandle.innerText()","chromium","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","4387","should lock account after multiple failed attempts","chromium","2026-03-04","passed","2026-03-04","Login Feature @auth","AnnEx.spec.ts","",""
"","2489","Test 3 - Open GitHub","webkit","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","342","User API test - Thread 3","webkit","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","368","should display mocked users from API","webkit","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","556","should mock login API","webkit","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","178","verify text inside iframe","chromium","2026-03-04","passed","2026-03-04","Handle iframe on DemoQA","frame.spec.ts","",""
"","2062","login using ElementHandle","webkit","2026-03-04","passed","2026-03-04","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","214","should display mocked users from API","firefox","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","395","should read innerHTML using ElementHandle.innerHTML()","webkit","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","1972","Test 1 - Open Example","firefox","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","3024","Login test for user: invalid_user","webkit","2026-03-04","passed","2026-03-04","Login Parameterized Tests","ExPara.spec.ts","",""
"","3759","should login successfully","webkit","2026-03-04","passed","2026-03-04","User Dashboard - Isolated Tests","isolation.spec.ts","",""
"","1589","should validate real API response","chromium","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","519","should read href attribute using ElementHandle.getAttribute()","webkit","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","378","should read textContent using ElementHandle.textContent()","webkit","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","2272","Valid login: standard_user","firefox","2026-03-04","passed","2026-03-04","Login Tests - Parameterized","ExPara.spec.ts","",""
"","1737","handle new tab using popup event","webkit","2026-03-04","passed","2026-03-04","Window Handling in Playwright","windowHandle.spec.ts","",""
"","384","Read and write Excel using Playwright","firefox","2026-03-04","passed","2026-03-04","","excel.spec.ts","",""
"","220","should use JSHandle.evaluate() to read object property","firefox","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","2375","should capture console messages","webkit","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","1973","Login","chromium","2026-03-04","passed","2026-03-04","","login.spec.ts","",""
"","151","should read textContent using ElementHandle.textContent()","chromium","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","414","Read and write Excel using Playwright","chromium","2026-03-04","passed","2026-03-04","","excel.spec.ts","",""
"","0","should support MFA login","chromium","2026-03-04","skipped","2026-03-04","Login Feature @auth","AnnEx.spec.ts","",""
"","1058","Invalid user login","chromium","2026-03-04","passed","2026-03-04","Authentication Tests","eventExample.spec.ts","",""
"","1833","should capture console messages","firefox","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","1504","has title","chromium","2026-03-04","passed","2026-03-04","","signUp.spec.ts","",""
"","2490","has title","webkit","2026-03-04","passed","2026-03-04","","signUp.spec.ts","",""
"","2304","Valid login: admin_user","firefox","2026-03-04","passed","2026-03-04","Login Tests - Parameterized","ExPara.spec.ts","",""
"","362","User API test - Thread 2","webkit","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","302","should use JSHandle.evaluate() to read object property","webkit","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","0","Check table has at least one row","webkit","2026-03-04","skipped","2026-03-04","Table Verification","eventExample.spec.ts","",""
"","705","Login test using Excel row 1","firefox","2026-03-04","passed","2026-03-04","","excel.spec.ts","",""
"","1535","manual isolated browser context","chromium","2026-03-04","passed","2026-03-04","","isolation.spec.ts","",""
"","1678","should show error for invalid credentials @negative","chromium","2026-03-04","passed","2026-03-04","Login Feature @auth","AnnEx.spec.ts","",""
"","3037","Submit contact form successfully","firefox","2026-03-04","passed","2026-03-04","Form Submission","eventExample.spec.ts","",""
"","393","should read href attribute using ElementHandle.getAttribute()","firefox","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","1495","Upload and download a file","firefox","2026-03-04","passed","2026-03-04","","file.spec.ts","",""
"","585","Login test using Excel row 2","firefox","2026-03-04","passed","2026-03-04","","excel.spec.ts","",""
"","146","should display mocked users from API","chromium","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","7116","should lock account after multiple failed attempts","webkit","2026-03-04","passed","2026-03-04","Login Feature @auth","AnnEx.spec.ts","",""
"","2459","manual isolated browser context","webkit","2026-03-04","passed","2026-03-04","","isolation.spec.ts","",""
"","1545","should handle popup, network request, dialog, and download events","chromium","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","514","should wait for specific API response","webkit","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","1141","Upload and download a file","chromium","2026-03-04","passed","2026-03-04","","file.spec.ts","",""
"","2466","should validate POST request payload","webkit","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","1635","Test 1 - Open Example","chromium","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","1548","fresh session test","chromium","2026-03-04","passed","2026-03-04","Isolated with explicit context config","isolation.spec.ts","",""
"","223","User API test - Thread 1","firefox","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","1846","fresh session test","firefox","2026-03-04","passed","2026-03-04","Isolated with explicit context config","isolation.spec.ts","",""
"","1110","Valid user login","chromium","2026-03-04","passed","2026-03-04","Authentication Tests","eventExample.spec.ts","",""
"","3736","Login test for user: standard_user","webkit","2026-03-04","passed","2026-03-04","Login Parameterized Tests","ExPara.spec.ts","",""
"","1814","manual isolated browser context","firefox","2026-03-04","passed","2026-03-04","","isolation.spec.ts","",""
"","2054","Valid login: standard_user","chromium","2026-03-04","passed","2026-03-04","Login Tests - Parameterized","ExPara.spec.ts","",""
"","857","Login test using Excel row 2","webkit","2026-03-04","passed","2026-03-04","","excel.spec.ts","",""
"","1944","Invalid user login","webkit","2026-03-04","passed","2026-03-04","Authentication Tests","eventExample.spec.ts","",""
"","578","Read and write Excel using Playwright","webkit","2026-03-04","passed","2026-03-04","","excel.spec.ts","",""
"","1519","Test 3 - Open GitHub","chromium","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","2498","Test 2 - Open Playwright","webkit","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","1645","should capture page errors","firefox","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","1033","get position and size of an element","firefox","2026-03-04","passed","2026-03-04","ElementHandle boundingBox example","windowHandle.spec.ts","",""
"","2805","should login with valid credentials @smoke","firefox","2026-03-04","passed","2026-03-04","Login Feature @auth","AnnEx.spec.ts","",""
"","223","User API test - Thread 2","firefox","2026-03-04","passed","2026-03-04","","exMockApi.spec.ts","",""
"","3728","new todo test","firefox","2026-03-04","passed","2026-03-04","","codegen.spec.ts","",""
"","1789","should handle popup, network request, dialog, and download events","firefox","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","2429","should display user dashboard after login","firefox","2026-03-04","passed","2026-03-04","Dashboard Tests","ext.spec.ts","",""
"","2442","should validate real API response","webkit","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","1289","Invalid user login","firefox","2026-03-04","passed","2026-03-04","Authentication Tests","eventExample.spec.ts","",""
"","3833","get started","webkit","2026-03-04","passed","2026-03-04","","signUp.spec.ts","",""
"","297","should wait for specific API response","firefox","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","2696","get started","chromium","2026-03-04","passed","2026-03-04","","signUp.spec.ts","",""
"","1634","should capture page errors","chromium","2026-03-04","passed","2026-03-04","","eventExample.spec.ts","",""
"","1866","should validate real API response","firefox","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","1087","login using ElementHandle","chromium","2026-03-04","passed","2026-03-04","Using ElementHandle in Playwright","windowHandle.spec.ts","",""
"","2014","Valid login: admin_user","chromium","2026-03-04","passed","2026-03-04","Login Tests - Parameterized","ExPara.spec.ts","",""
"","1633","should validate POST request payload","chromium","2026-03-04","passed","2026-03-04","","ExNetwork.spec.ts","",""
"","755","BrowserContext shares localStorage between pages","webkit","2026-03-04","passed","2026-03-04","","browserContext.spec.ts","",""
"","386","should read innerText using ElementHandle.innerText()","webkit","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
"","439","should read href attribute using ElementHandle.getAttribute()","chromium","2026-03-04","passed","2026-03-04","","windowHandle.spec.ts","",""
